0.11, 9.66
0.13, 11.86
0.14, 15.10
0.17, 18.70
0.19, 23.59
0.23, 29.49
0.26, 36.87
0.32, 45.66
0.37, 54.48
0.44, 65.00
0.53, 78.28
0.64, 95.00
0.81, 115.38
1.06, 140.68
1.44, 172.15
1.97, 205.41
2.74, 237.46
3.81, 265.01
5.29, 287.40
7.36, 304.62
10.23, 317.61
14.23, 327.12
19.78, 334.71
27.50, 341.91
38.24, 348.13
53.17, 349.56
73.92, 349.56
102.77, 348.70
142.88, 343.60
198.64, 335.81
276.16, 326.32
383.92, 313.99
533.72, 300.65
741.94, 283.89
1031.39, 265.67
1433.70, 244.97
1992.88, 222.76
2770.10, 200.75
3850.24, 176.96
5351.35, 153.32
7437.48, 131.01
9308.71, 116.43
